gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redKills,redDeaths,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,redTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,redGoldPerMin
4468400169,1,18,0,0,3,4,4,1,1,0,0,14657,6.6,17306,204,52,-987,-555,20.4,1465.7,24,1,1,4,3,4,0,0,0,0,15644,7.0,17861,246,51,987,555,24.6,1564.4
4462377853,0,123,2,1,6,6,6,0,0,0,0,16378,6.8,17819,211,43,428,-558,21.1,1637.8,58,0,0,6,6,6,2,1,1,0,15950,7.0,18377,216,49,-428,558,21.6,1595.0
4461787791,1,89,3,1,7,5,7,1,1,0,0,17488,7.2,18635,220,51,1902,967,22.0,1748.8,54,6,0,5,7,6,0,0,0,0,15586,7.0,17668,193,60,-1902,-967,19.3,1558.6
4497751825,0,17,3,1,7,10,5,0,0,0,0,15351,6.0,13858,169,52,-2827,-2675,16.9,1535.1,17,5,0,10,7,11,1,1,0,0,18178,6.4,16533,181,52,2827,2675,18.1,1817.8
4521575223,1,146,1,0,11,7,9,0,0,0,0,18520,7.2,19054,220,48,564,633,22.0,1852.0,11,2,1,7,11,7,1,1,0,0,17956,6.8,18421,226,73,-564,-633,22.6,1795.6
4526463551,1,12,3,0,5,5,9,1,0,1,0,16730,7.0,17875,246,52,913,14,24.6,1673.0,13,1,1,5,5,6,0,0,0,0,15817,6.8,17861,205,55,-913,-14,20.5,1581.7
4517486439,1,19,3,1,8,2,12,0,0,0,0,17432,7.2,18495,209,44,2673,1388,20.9,1743.2,11,2,0,2,8,4,1,1,0,0,14759,6.6,17107,216,64,-2673,-1388,21.6,1475.9
4440086244,1,15,1,1,11,3,13,1,1,0,0,18208,7.4,19838,219,56,3199,2629,21.9,1820.8,37,2,0,3,11,2,0,0,0,0,15009,6.8,17209,209,41,-3199,-2629,20.9,1500.9
4450464581,0,17,7,1,6,9,7,0,0,0,0,16035,6.6,17041,196,52,-2257,-2894,19.6,1603.5,40,3,0,9,6,5,1,1,0,0,18292,7.4,19935,230,52,2257,2894,23.0,1829.2
4520757711,0,10,3,0,4,7,1,0,0,0,0,15038,6.8,17152,230,52,-1535,-716,23.0,1503.8,16,1,1,7,4,8,1,1,0,0,16573,6.8,17868,215,60,1535,716,21.5,1657.3
4378558412,0,16,3,0,8,11,9,0,0,0,0,16371,6.6,16354,201,40,-1867,-2002,20.1,1637.1,15,5,1,11,8,11,1,1,0,0,18238,7.2,18356,190,52,1867,2002,19.0,1823.8
4486514272,0,17,1,1,7,6,10,0,0,0,0,16360,6.4,16497,218,44,-75,144,21.8,1636.0,14,2,0,6,7,8,0,0,0,0,16435,6.8,16353,207,40,75,-144,20.7,1643.5
4443526032,0,35,4,0,4,7,6,0,0,0,0,15902,6.8,17995,241,48,-1190,-66,24.1,1590.2,27,6,1,7,4,14,1,1,0,0,17092,6.8,18061,241,57,1190,66,24.1,1709.2
4440493059,0,38,1,1,5,2,4,2,1,1,0,16517,7.2,19476,246,56,2123,2669,24.6,1651.7,146,14,0,2,5,4,0,0,0,0,14394,6.6,16807,220,45,-2123,-2669,22.0,1439.4
4525129730,0,12,2,0,1,9,2,0,0,0,0,13299,6.4,15911,189,48,-7285,-4379,18.9,1329.9,15,2,1,9,1,17,1,1,0,1,20584,7.6,20290,251,60,7285,4379,25.1,2058.4
4525377275,1,20,0,1,5,11,5,0,0,0,0,15453,6.6,16291,193,43,-2980,-2882,19.3,1545.3,16,7,0,11,5,15,0,0,0,0,18433,7.2,19173,233,45,2980,2882,23.3,1843.3
4496639377,1,19,3,0,10,4,9,0,0,0,0,17979,7.0,18648,214,55,2507,2680,21.4,1797.9,28,4,1,4,10,6,1,1,0,0,15472,6.4,15968,214,56,-2507,-2680,21.4,1547.2
4477432389,0,33,2,0,6,10,7,0,0,0,0,15820,7.0,18253,203,49,-2116,-1407,20.3,1582.0,14,3,1,10,6,11,1,1,0,0,17936,7.2,19660,223,44,2116,1407,22.3,1793.6
4520994521,0,37,5,0,2,7,3,0,0,0,0,14933,7.2,18353,213,52,-1957,-354,21.3,1493.3,20,2,1,7,2,4,2,1,1,0,16890,7.0,18707,220,60,1957,354,22.0,1689.0
4519008578,1,68,2,1,7,9,8,0,0,0,0,16274,6.8,17652,204,41,-1248,-843,20.4,1627.4,14,1,0,9,7,13,0,0,0,0,17522,7.2,18495,211,41,1248,843,21.1,1752.2
4527089557,1,17,1,1,9,2,8,1,0,1,0,18650,7.4,20053,234,55,4128,3128,23.4,1865.0,17,2,0,2,9,2,0,0,0,0,14522,6.6,16925,243,45,-4128,-3128,24.3,1452.2
4429977573,1,16,5,1,11,5,18,1,1,0,0,18612,7.2,19203,227,45,2728,1957,22.7,1861.2,14,1,0,5,11,6,0,0,0,0,15884,7.0,17246,225,48,-2728,-1957,22.5,1588.4
4461035209,0,18,1,1,7,9,7,0,0,0,0,15946,6.8,16836,170,36,-833,-932,17.0,1594.6,16,2,0,9,7,10,1,0,1,0,16779,7.0,17768,230,44,833,932,23.0,1677.9
4509889466,1,16,4,1,7,3,4,1,1,0,0,16956,7.0,19127,234,43,1712,1983,23.4,1695.6,17,3,0,3,7,5,1,0,1,0,15244,6.8,17144,236,51,-1712,-1983,23.6,1524.4
4485749610,1,12,6,0,4,5,5,2,1,1,0,16630,7.2,19373,251,70,-159,-206,25.1,1663.0,22,2,1,5,4,6,0,0,0,0,16789,7.2,19579,244,65,159,206,24.4,1678.9
4503249244,1,21,0,1,5,9,5,1,0,1,0,15881,6.4,16164,204,44,-1441,-938,20.4,1588.1,17,3,0,9,5,16,1,1,0,0,17322,6.8,17102,197,53,1441,938,19.7,1732.2
4527545380,1,14,3,1,10,8,17,1,0,1,0,17799,7.0,18078,190,40,-333,-359,19.0,1779.9,16,3,0,8,10,7,1,1,0,0,18132,7.2,18437,241,59,333,359,24.1,1813.2
4476670198,1,17,3,0,3,8,3,1,1,0,0,14591,6.8,16795,224,46,-3236,-2874,22.4,1459.1,16,3,1,8,3,8,1,0,1,0,17827,7.4,19669,252,50,3236,2874,25.2,1782.7
4478159300,1,16,5,0,5,1,5,1,1,0,0,16352,7.2,19028,250,52,1824,1204,25.0,1635.2,20,4,1,1,5,2,0,0,0,0,14528,7.0,17824,239,52,-1824,-1204,23.9,1452.8
4497909017,0,17,5,1,7,8,2,0,0,0,0,15684,6.6,17100,203,47,-1400,-644,20.3,1568.4,21,5,0,8,7,10,1,1,0,0,17084,7.0,17744,208,40,1400,644,20.8,1708.4
4515856568,0,12,5,1,5,9,3,1,1,0,0,15781,6.8,17614,203,60,-1980,-1595,20.3,1578.1,46,1,0,9,5,11,0,0,0,0,17761,7.2,19209,228,44,1980,1595,22.8,1776.1
4512351336,1,60,8,0,5,8,9,0,0,0,0,15966,7.0,18157,209,47,-847,-267,20.9,1596.6,55,3,1,8,5,8,1,1,0,0,16813,7.2,18424,203,60,847,267,20.3,1681.3
4515353757,1,15,3,0,1,2,1,1,1,0,0,14836,7.0,18769,261,60,-425,-316,26.1,1483.6,64,2,1,2,1,2,0,0,0,0,15261,7.2,19085,255,64,425,316,25.5,1526.1
4520353212,1,15,2,0,6,4,8,0,0,0,0,17201,7.2,19652,239,57,1820,1893,23.9,1720.1,12,2,1,4,6,5,1,1,0,0,15381,7.0,17759,219,58,-1820,-1893,21.9,1538.1
4522498340,1,14,2,1,11,6,10,1,1,0,1,19517,7.0,18337,216,50,3304,-85,21.6,1951.7,53,1,0,6,11,7,0,0,0,0,16213,7.0,18422,208,52,-3304,85,20.8,1621.3
4526435733,0,94,4,0,8,9,10,1,0,1,0,17431,7.0,17957,208,34,-96,277,20.8,1743.1,15,3,1,9,8,8,1,1,0,0,17527,6.6,17680,215,52,96,-277,21.5,1752.7
4526156399,1,11,2,1,5,8,4,0,0,0,0,15440,6.6,16608,209,39,-1404,443,20.9,1544.0,55,1,0,8,5,12,0,0,0,0,16844,6.6,16165,188,45,1404,-443,18.8,1684.4
4523353558,0,14,3,0,1,7,0,0,0,0,0,13633,6.4,16221,202,53,-5800,-3960,20.2,1363.3,12,1,1,7,1,15,1,1,0,1,19433,7.6,20181,245,74,5800,3960,24.5,1943.3
4511705430,0,15,2,1,4,4,3,1,1,0,0,15237,6.8,17162,224,56,-305,242,22.4,1523.7,26,4,0,4,4,5,0,0,0,0,15542,6.4,16920,201,57,305,-242,20.1,1554.2
4440119391,1,24,3,1,14,4,14,0,0,0,0,21095,7.6,21242,249,67,5802,5396,24.9,2109.5,13,5,0,4,14,5,1,1,0,0,15293,6.2,15846,186,44,-5802,-5396,18.6,1529.3
4510923222,0,16,0,1,4,8,6,1,1,0,0,14563,6.6,15835,196,39,-3004,-3860,19.6,1456.3,17,4,0,8,4,10,0,0,0,0,17567,7.2,19695,229,64,3004,3860,22.9,1756.7
4477952822,1,19,1,0,4,2,4,0,0,0,0,15205,6.8,17501,234,44,457,690,23.4,1520.5,18,2,1,2,4,2,1,1,0,0,14748,6.6,16811,250,45,-457,-690,25.0,1474.8
4452042195,1,17,2,1,2,3,4,0,0,0,0,16008,6.8,18674,237,83,1060,1708,23.7,1600.8,15,1,0,3,2,5,1,1,0,0,14948,6.8,16966,211,53,-1060,-1708,21.1,1494.8
4524881267,0,16,3,0,6,9,6,1,1,0,0,16654,7.0,18387,239,42,-959,-1002,23.9,1665.4,88,2,1,9,6,12,0,0,0,0,17613,7.0,19389,211,48,959,1002,21.1,1761.3
4469857979,0,13,2,0,3,7,5,0,0,0,0,15423,7.2,18610,241,52,-2523,-732,24.1,1542.3,13,4,1,7,3,7,1,1,0,0,17946,7.4,19342,248,48,2523,732,24.8,1794.6
4476840336,1,18,2,1,9,4,13,0,0,0,0,17234,6.6,17496,195,44,2477,1105,19.5,1723.4,16,0,0,4,9,3,0,0,0,0,14757,6.6,16391,194,39,-2477,-1105,19.4,1475.7
4470019364,0,16,1,1,3,8,1,0,0,0,0,14637,6.8,17706,193,48,-2433,-1687,19.3,1463.7,17,3,0,8,3,3,0,0,0,0,17070,7.2,19393,223,43,2433,1687,22.3,1707.0
4523961179,1,18,2,0,3,4,4,1,0,1,0,15829,7.0,17924,242,56,450,661,24.2,1582.9,12,3,1,4,3,5,1,1,0,0,15379,6.6,17263,239,48,-450,-661,23.9,1537.9
4516641337,0,16,5,1,11,8,14,0,0,0,0,18345,7.2,18508,218,52,1959,899,21.8,1834.5,15,2,0,8,11,10,2,1,1,0,16386,6.8,17609,198,44,-1959,-899,19.8,1638.6
4513996335,0,41,3,1,7,7,7,1,1,0,0,16491,6.6,16774,190,60,453,-1745,19.0,1649.1,16,6,0,7,7,0,0,0,0,0,16038,7.0,18519,238,51,-453,1745,23.8,1603.8
4476078832,1,17,2,1,9,5,7,0,0,0,0,18196,7.2,19070,230,59,2763,1667,23.0,1819.6,13,1,0,5,9,6,1,1,0,0,15433,6.8,17403,194,56,-2763,-1667,19.4,1543.3
4516578815,0,46,0,1,8,5,13,0,0,0,0,16384,6.8,16954,218,37,-232,-1633,21.8,1638.4,10,3,0,5,8,3,0,0,0,0,16616,7.2,18587,242,72,232,1633,24.2,1661.6
4462682935,0,25,1,1,5,5,8,0,0,0,0,14966,6.4,16483,177,45,-1470,-1837,17.7,1496.6,17,5,0,5,5,10,1,1,0,0,16436,7.0,18320,220,59,1470,1837,22.0,1643.6
4526746921,0,14,3,0,6,9,9,1,1,0,0,15738,6.6,16512,188,53,-2550,-1985,18.8,1573.8,15,1,1,9,6,6,0,0,0,0,18288,7.0,18497,224,57,2550,1985,22.4,1828.8
4488005635,0,15,1,0,2,5,2,1,1,0,0,15281,6.8,17495,248,52,-1201,-919,24.8,1528.1,21,3,1,5,2,11,0,0,0,0,16482,6.8,18414,247,42,1201,919,24.7,1648.2
4445519419,1,19,3,1,10,5,12,2,1,1,0,18418,7.0,18311,247,51,3750,2742,24.7,1841.8,14,5,0,5,10,6,0,0,0,0,14668,6.4,15569,194,24,-3750,-2742,19.4,1466.8
4473202955,1,17,1,1,12,9,8,0,0,0,0,18086,6.8,17120,190,42,1030,705,19.0,1808.6,12,2,0,9,12,9,0,0,0,0,17056,6.6,16415,174,48,-1030,-705,17.4,1705.6
