,blueWins,ratioFirstBlood,differenceFirstBlood,ratioKills,differenceKills,ratioDeaths,differenceDeaths,ratioAssists,differenceAssists,ratioEliteMonsters,differenceEliteMonsters,ratioDragons,differenceDragons,ratioTotalGold,differenceTotalGold,ratioAvgLevel,differenceAvgLevel,ratioTotalExperience,differenceTotalExperience,ratioTotalMinionsKilled,differenceTotalMinionsKilled,differenceGoldDiff,differenceExperienceDiff,ratioCSPerMin,differenceCSPerMin,ratioGoldPerMin,differenceGoldPerMin
0,1,0.0,-1,0.6,-1,1.0,1,0.8,0,1.0,1,1.0,1,0.9368488334931288,-987,0.825,-0.40000000000000036,0.9688724666890606,-555,0.8259109311740891,-42,-1974,-1110,0.7968749999999999,-4.200000000000003,0.9363102082534815,-98.70000000000005
1,0,1.0,1,0.8571428571428571,0,0.8571428571428571,0,0.8571428571428571,0,0.0,-2,0.0,-1,1.0267694815372077,428,0.85,-0.20000000000000018,0.9695831973011209,-558,0.9723502304147466,-5,856,-1116,0.9336283185840708,-0.5,1.026190476190476,42.799999999999955
2,1,1.0,1,1.1666666666666667,2,0.625,-2,1.0,1,1.0,1,1.0,1,1.1219606081991402,1902,0.9,0.20000000000000018,1.054672024449601,967,1.134020618556701,27,3804,1934,1.083743842364532,2.6999999999999993,1.1213131572198,190.20000000000005
3,0,1.0,1,0.6363636363636364,-3,1.25,3,0.4166666666666667,-6,0.0,-1,0.0,-1,0.8444358875625722,-2827,0.8108108108108107,-0.40000000000000036,0.8381516874319583,-2675,0.9285714285714286,-12,-5654,-5350,0.8848167539267014,-1.2000000000000028,0.8440180338684847,-282.70000000000005
4,1,0.0,-1,1.375,4,0.5833333333333334,-4,1.125,2,0.0,-1,0.0,-1,1.031352675836721,564,0.9230769230769231,0.40000000000000036,1.034306807078493,633,0.9691629955947136,-6,1128,1266,0.9322033898305084,-0.6000000000000014,1.0308360236001337,56.40000000000009
5,1,0.0,-1,0.8333333333333334,0,0.8333333333333334,0,1.2857142857142858,3,1.0,1,0.0,0,1.0576558351245418,913,0.8974358974358975,0.20000000000000018,1.0007278020378456,14,1.1941747572815533,41,1826,28,1.144186046511628,4.100000000000001,1.0570544007076514,91.29999999999995
6,1,1.0,1,2.6666666666666665,6,0.2222222222222222,-6,2.4,8,0.0,-1,0.0,-1,1.181029810298103,2673,0.9473684210526316,0.6000000000000005,1.0810731821370119,1388,0.9631336405529954,-7,5346,2776,0.9247787610619468,-0.7000000000000028,1.18031010901212,267.29999999999995
7,1,1.0,1,2.75,8,0.25,-8,4.333333333333333,11,1.0,1,1.0,1,1.213057961359094,3199,0.9487179487179488,0.6000000000000005,1.1527019174898314,2629,1.042857142857143,10,6398,5258,1.0,1.0,1.212331047340036,319.89999999999986
8,0,1.0,1,0.6,-3,1.2857142857142858,3,1.1666666666666667,2,0.0,-1,0.0,-1,0.8765648062100256,-2257,0.7857142857142856,-0.8000000000000007,0.8547853130016051,-2894,0.8484848484848485,-34,-4514,-5788,0.8166666666666668,-3.3999999999999986,0.876133755873675,-225.70000000000005
9,0,0.0,-1,0.5,-3,1.4,3,0.1111111111111111,-7,0.0,-1,0.0,-1,0.9073247254736334,-1535,0.8717948717948718,0.0,0.9598746432368908,-716,1.0648148148148149,15,-3070,-1432,1.0222222222222221,1.5,0.906832298136646,-153.5
10,0,0.0,-1,0.6666666666666666,-3,1.2222222222222223,3,0.75,-2,0.0,-1,0.0,-1,0.897582104282033,-1867,0.8048780487804879,-0.6000000000000005,0.8908863103993028,-2002,1.0523560209424083,11,-3734,-4004,1.0050000000000001,1.1000000000000014,0.8971394125383604,-186.70000000000005
